"","rank","song","singer","music_director","lyricist","movie","actors","year"
"153",29,"O Bichhuaa, Dayyaa Re Dayyaa Re Chadh Gayo Paapi Bichhuaa ","MannaDey,LataMangeshkar","Salil Chowdhury","Shailendra","Madhumati","Vyjayantimala, Pran, Johnny Walker, Jayant, Dilip Kumar",1959
"154",30,"Main Main Main Cartoon ","ShamshadBegum,MohammedRafi,AshaBhosle","O P Nayyar","Hasrat Jaipuri","Mr. Cartoon M.A.","Shyama, Johnny Walker",1959
"155",31,"Bachpan Ke Din Bhi Kya Din The ","GeetaDutt,AshaBhosle","Sachin Dev Burman","Majrooh Sultanpuri","Sujata","Shashikala, Nutan",1959
"156",32,"Ho Mora Nadaan Balma Na Jane Ji Ki Baat ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Ujala","Raaj Kumar, Kumkum",1959
"157",1,"Zindagi Bhar Nahi Bhulegi Woh Barsaat Ki ","MohammedRafi","Roshan","Sahir Ludhianvi","Barsaat Ki Raat","Bharat Bhushan, Madhubala",1960
"158",2,"Chaudhvin Ka Chand Ho ","MohammedRafi","Ravi","Shakeel Badayuni","Chaudhvin Ka Chand","Guru Dutt, Waheeda Rehman",1960
"159",3,"Mujhko Is Raat Ki Tanhai Mein Awaaz Na Do (By Mukesh) ","Mukesh","Kalyanji Anandji","Shamim Jaipuri","Dil Bhi Tera Hum Bhi Tere","Dharmendra",1960
"160",4,"Jab Pyar Kiya To Darna Kya ","LataMangeshkar","Naushad","Shakeel Badayuni","Mughal-e-Azam","Nigar Sultana, Prithviraj Kapoor, Madhubala, Dilip Kumar",1960
"161",5,"Chal Ri Sajani Abb Kya Soche, Kajra Na Beh Jaye Rote Rote ","Mukesh","Sachin Dev Burman","Majrooh Sultanpuri","Bombai Ka Babu","Dev Anand, Suchitra Sen",1960
"162",6,"Dil Apna Aur Prit Parayi, Kisne Hain Ye Rit Banayi ","LataMangeshkar","Shankar Jaikishan","Shailendra","Dil Apna Aur Preet Parai","Meena Kumari",1960
"163",7,"Tere Pyaar Ka Aasra Chahta Hu ","LataMangeshkar,MahendraKapoor","N Datta","Sahir Ludhianvi","Dhool Ka Phool","Ashok Kumar, Mala Sinha, Nanda, Rajendra Kumar",1960
"164",8,"Mohabbat Ki Jhuthi Kahani Pe Roye ","LataMangeshkar","Naushad","Shakeel Badayuni","Mughal-e-Azam","Madhubala",1960
"165",9,"Chhaliyaa Meraa Naam Chhalanaa Meraa Kaam ","Mukesh","Kalyanji Anandji","Qamar Jalalabadi","Chhalia","Raj Kapoor, Nutan",1960
"166",10,"Tu Hai Harjai To Apna Bhi Yehi Taur Sahi ","Mukesh","Ravi","Majrooh Sultanpuri","Tu Nahin Aur Sahi","Kumkum, Pradeep Kumar",1960
"167",11,"Tadpaoge Tadpa Lo, Ham Tadap Tadap Kar ","LataMangeshkar","Chitragupt","Rajinder Krishan","Barkha","Anant Kumar, Shobha Khote",1960
"168",12,"Mera Dil Ab Tera O Saajana ","LataMangeshkar","Shankar Jaikishan","Shailendra","Dil Apna Aur Preet Parai","Meena Kumari, Raaj Kumar",1960
"169",14,"Aadha Hai Chandrama Raat Aadhee ","AshaBhosle,MahendraKapoor","Chitalkar Ramchandra","Bharat Vyas","Navrang","Mahipal, Sandhya",1960
"170",15,"Khoya Khoya Chand Khula Aasman ","MohammedRafi","Sachin Dev Burman","Shailendra","Kala Bazar","Dev Anand, Waheeda Rehman",1960
"171",16,"Tumhe Yaad Hoga Kabhi Hum Mile The ","LataMangeshkar,HemantKumar","Kalyanji Anandji","Gulshan Bawra","Satta Bazaar","Vijaya Chaudhary, Suresh",1960
"172",17,"O Sajanaa Barakhaa Bahaar Aayi ","LataMangeshkar","Salil Chowdhury","Shailendra","Parakh","Motilal, Sadhana, Vasant Choudhry",1960
"173",18,"Shisha-E-Dil Itna Na Uchhalo ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Dil Apna Aur Preet Parai","Meena Kumari",1960
"174",19,"Yaad Aa Gai Vo Nashili Nigaahen, Yaaron Tham Lena ","HemantKumar","Sachin Dev Burman","Majrooh Sultanpuri","Manzil","Dev Anand, Nutan",1960
"175",20,"Matwali Naar Thumak Thumak Chali Jaye ","Mukesh","Shankar Jaikishan","Shailendra","Ek Phool Char Kante","Sunil Dutt, Waheeda Rehman",1960
"176",21,"Bolo Bolo Kuchh To Bolo, Gussa Chhodo Dil Na Todo, Pyar Ho To Kah Do Yes ","MohammedRafi","Usha Khanna","Majrooh Sultanpuri","Dil Deke Dekho","Shammi Kapoor, Asha Parekh",1960
"177",22,"Dhadakane Lage Dil Ke Taaron Ki Duniyaa ","AshaBhosle,MahendraKapoor","N Datta","Sahir Ludhianvi","Dhool Ka Phool","Mala Sinha, Rajendra Kumar",1960
"178",23,"Mili Kaak Men Muhabbat Jalaa Dil Kaa Aashiyaanaa ","MohammedRafi","Ravi","Shakeel Badayuni","Chaudhvin Ka Chand","Rehman, Waheeda Rehman, Guru Dutt, Johnny Walker",1960
"179",24,"Ajib Dastan Hai Ye Kaha Shuru Kaha Khatam ","LataMangeshkar","Shankar Jaikishan","Shailendra","Dil Apna Aur Preet Parai","Nadira, Raaj Kumar, Meena Kumari",1960
"180",25,"Mera Yar Bana Hai Dulha ","MohammedRafi","Ravi","Shakeel Badayuni","Chaudhvin Ka Chand","Johnny Walker, Guru Dutt",1960
"181",26,"Ye Shahar Badaa Alabelaa, Singaapur ","Mukesh","Shankar Jaikishan","Shailendra","Singapore","K N Singh, Padmini, Shammi Kapoor, Shashikala",1960
"182",27,"Mohe Phanghat ","LataMangeshkar","Naushad","Shakeel Badayuni","Mughal-e-Azam","Madhubala",1960
"183",28,"Jadugar Qatil, Hazir Hai Mera Dil ","AshaBhosle","Naushad","Shakeel Badayuni","Kohinoor","Dilip Kapoor, Kumkum",1960
"184",29,"Dil Lutane Vale Jadugar ","LataMangeshkar,Mukesh","Kalyanji Anandji","Farooq Qaisar","Madari","Chitra, Ranjan",1960
"185",30,"Bade Hain Dil Ke Kaale ","MohammedRafi,AshaBhosle","Usha Khanna","Majrooh Sultanpuri","Dil Deke Dekho","Shammi Kapoor, Asha Parekh",1960
"186",31,"Mere Tute Hue Dil Se Koi To Aaj Ye Puchhe ","Mukesh","Kalyanji Anandji","Qamar Jalalabadi","Chhalia","Raj Kapoor, Nutan",1960
"187",32,"Apni To Har Aah Ek Tufan Hai ","MohammedRafi","Sachin Dev Burman","Shailendra","Kala Bazar","Waheeda Rehman, Dev Anand",1960
"188",1,"Teri Pyari Pyari Surat Ko Kisi Ki Nazar Na Lage ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Sasural","Rajendra Kumar, B Saroja Devi",1961
"189",2,"Abhi Na Jaao Chhod Kar, Ke Dil Abhi Bhara Nahin ","MohammedRafi,AshaBhosle","Jaidev","Sahir Ludhianvi","Hum Dono","Dev Anand, Sadhana",1961
"190",3,"Ho Maine Pyar Kiya, Oye Hoye Kya Zurm Kiya ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Jis Desh Men Ganga Behti Hai","Padmini",1961
"191",4,"Mera Naam Raju Gharana Anam ","Mukesh","Shankar Jaikishan","Shailendra","Jis Desh Men Ganga Behti Hai","Raj Kapoor",1961
"192",5,"Matwalee Aankhowale O Alabele Dilwale ","MohammedRafi,LataMangeshkar","R D Burman","Shailendra","Chhote Nawab","Helen, Johnny Walker, Mehmood",1961
"193",6,"Dil Mera Ek Aas Ka Panchhi ","SubirSen","Shankar Jaikishan","Hasrat Jaipuri","Aas Ka Panchhi","Rajendra Kumar, Vyjayantimala",1961
"194",7,"Ek Savaal Main Karu, Ek Savaal Tum Karo ","MohammedRafi,LataMangeshkar","Shankar Jaikishan","Shailendra","Sasural","Rajendra Kumar, B Saroja Devi",1961
"195",9,"Saranga Teri Yaad Me Nain Hue Bechain ","Mukesh","Sardar Malik","Bharat Vyas","Saranga","Sudesh Kumar",1961
"196",10,"Husn Wale Teraa Jawab Nahee ","MohammedRafi","Ravi","Shakeel Badayuni","Gharana","Asha Parekh, Rajendra Kumar",1961
"197",11,"Hotho Pe Sachchai Rahti Hai ","Mukesh","Shankar Jaikishan","Shailendra","Jis Desh Men Ganga Behti Hai","Padmini, Raj Kapoor",1961
"198",12,"Kabhi Khud Pe, Kabhi Haalaat Pe Ronaa Aayaa ","MohammedRafi","Jaidev","Sahir Ludhianvi","Hum Dono","Dev Anand, Nanda, Sadhana",1961
"199",13,"Itna Na Mujhse Tu Pyar Badha, Ke Main Ek Badal Aawara ","LataMangeshkar,TalatMahmood","Salil Chowdhury","Rajinder Krishan","Chhaya","Asha Parekh, Sunil Dutt",1961
"200",14,"Mai Khushnasib Hu Mujhko Kisi Ka Pyar Mila ","Mukesh,LataMangeshkar","Ravi","Asad Bhopali","Tower House","Ajit, Shakila",1961
"201",15,"Madhuban Mein Radhika Nache ","MohammedRafi","Naushad","Shakeel Badayuni","Kohinoor","Dilip Kumar",1961
"202",16,"Begaani Shaadi Men Abdullaa Divaanaa ","Mukesh,LataMangeshkar","Shankar Jaikishan","Shailendra","Jis Desh Men Ganga Behti Hai","Lalita Pawar, Padmini, Pran, Raj Kapoor",1961
"203",17,"Dekho Ji Dekho Sun Lo Ye Baat ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Singapore","Shammi Kapoor, Maria Menado",1961
"204",18,"Tasveer Teri Dil Me, Jis Din Se Utari Hai ","LataMangeshkar,MohammedRafi","Salil Chowdhury","Majrooh Sultanpuri","Maya","Dev Anand, Mala Sinha",1961
"205",19,"Bikharaa Ke Zulfen Chaman Men Na Jaanaa ","Mukesh,LataMangeshkar","Ravi","Rajinder Krishan","Nazrana","Vyjayantimala, Raj Kapoor",1961
"206",20,"Haan Divaanaa Hun Main ","Mukesh","Sardar Mallik","Bharat Vyas","Saranga","Sudesh Kumar",1961
"207",21,"Tum Roothi Raho Mai Manata Rahu, Ki In Adao Pe Aur Pyar Aata Hai ","LataMangeshkar,Mukesh","Shankar Jaikishan","Hasrat Jaipuri","Aas Ka Panchhi","Vyjayantimala, Rajendra Kumar",1961
"208",22,"Nili Nili Ghata O Bhigi Bhigi Hava ","Mukesh,AshaBhosle","Usha Khanna","K Manohar","Hum Hindustani","Helen, Joy Mukherjee",1961
"209",23,"Kabhi Tanhaiyo Me Yu Humari Yaad Aayegi ","MubarakBegum","Snehal Bhatkar","Kedar Sharma","Hamari Yaad Aayegi","Tanuja, Ashok Sharma",1961
"210",24,"Do Sitaron Ka Zameen Par Hai Milan ","LataMangeshkar,MohammedRafi","Naushad","Shakeel Badayuni","Kohinoor","Meena Kumari, Dilip Kapoor",1961
"211",25,"Teri Duniya Se Dur, Chale Hoke Majboor, Hamen Yaad Rakhna ","MohammedRafi,LataMangeshkar","Chitragupt","Prem Dhawan","Zabak","Shyama, Mahipal",1961
"212",26,"Jiya O Jiya Kuchh Bol Do (Jab Pyar Kisi Se Hota Hai) ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Jab Pyar Kisi Se Hota Hai","Dev Anand, Asha Parekh",1961
"213",27,"Do Hanso Kaa Joda Bichhad Gayo Re ","LataMangeshkar","Naushad","Shakeel Badayuni","Gunga Jumna","Vyjayantimala",1961
"214",28,"Hume Kash Tumse Mohabbat Na Hoti ","LataMangeshkar","Naushad","Shakeel Badayuni","Mughal-e-Azam","Madhubala, Dilip Kumar",1961
"215",29,"Ek Pyaasaa Tujhe, Baazi Kisi Ne Pyaar Ki Jiti Yaa Haar Di ","MohammedRafi","Ravi","Rajinder Krishan","Nazrana","Raj Kapoor, Vyjayantimala",1961
"216",30,"Daadi Ammaa Daadi Ammaa Maan Jaao ","AshaBhosle,KamalBarot","Ravi","Shakeel Badayuni","Gharana","Lalita Pawar",1961
"217",31,"O Basantee Pawan Pagal Na Ja Re ","LataMangeshkar","Shankar Jaikishan","Shailendra","Jis Desh Men Ganga Behti Hai","Raj Kapoor, Pran, Padmini",1961
"218",32,"Chhodo Kal Ki Baaten Kal Ki Baat Puraani ","Mukesh","Usha Khanna","Prem Dhawan","Hum Hindustani","Asha Parekh, Joy Mukherjee, Sunil Dutt",1961
"219",1,"Ehsaan Tera Hoga Mujh Par, Dil Chahta Hai Vo Kahne Do (By Rafi) ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Junglee","Saira Banu, Shammi Kapoor",1962
"220",2,"Do Hanso Kaa Joda Bichhad Gayo Re ","LataMangeshkar","Naushad","Shakeel Badayuni","Gunga Jumna","Vyjayantimala",1962
"221",3,"Ab Kya Misal Doon Main Tumhare Shbaab Ki ","MohammedRafi","Roshan","Majrooh Sultanpuri","Aarti","Pradeep Kumar, Meena Kumari",1962
"222",4,"Aap Ki Nazro Ne Samjha, Pyar Ke Kabil Mujhe ","LataMangeshkar","Madan Mohan","Raja Mehdi Ali Khan","Anpadh","Dharmendra, Mala Sinha",1962
"223",5,"Yahoo Chahe Koyee Mujhe Junglee Kahe ","MohammedRafi","Shankar Jaikishan","Shailendra","Junglee","Shammi Kapoor, Saira Banu",1962
"224",6,"Kahin Deep Jale Kahin Dil ","LataMangeshkar","Hemant Kumar","Shakeel Badayuni","Bees Saal Baad","Biswajeet, Waheeda Rehman",1962
"225",7,"Teri Zulfo Se, Judai To Nahi Mangi Thi ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Jab Pyar Kisi Se Hota Hai","Dev Anand, Asha Parekh, Pran",1962
"226",8,"Jiya O Jiya Kuchh Bol Do (Jab Pyar Kisi Se Hota Hai) ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Jab Pyar Kisi Se Hota Hai","Dev Anand, Asha Parekh",1962
"227",9,"Dhundho Dhundho Re Saajanaa Dhundho Re Saajanaa ","LataMangeshkar,MohammedRafi","Naushad","Shakeel Badayuni","Gunga Jumna","Dilip Kumar, Vyjayantimala",1962
"228",10,"Ibtedaey Ishk Me Ham Saree Rat Jage ","Mukesh","Shankar Jaikishan","Hasrat Jaipuri","Hariyali Aur Rasta","Manoj Kumar, Mala Sinha",1962
"229",11,"O Shamaa Mujhe Phunk De ","LataMangeshkar,Mukesh","Shankar Jaikishan","Shailendra","Aashiq","Abhi Bhattacharya, Leela Chitnis, Nanda, Padmini, Raj Kapoor",1962
"230",12,"Hai Isi Me Pyar Ki Aabru ","LataMangeshkar","Madan Mohan","Raja Mehdi Ali Khan","Anpadh","Mala Sinha",1962
"231",13,"Bhanwara Bada Nadan Haay, Bagiyan Ka Mehmaan Haay ","AshaBhosle","Hemant Kumar","Shakeel Badayuni","Sahib Bibi Aur Ghulam","Guru Dutt, Waheeda Rehman",1962
"232",14,"Mai Aashiq Hu Baharo Ka ","Mukesh","Shankar Jaikishan","Shahryar","Aashiq","Raj Kapoor",1962
"233",15,"Bahut Shukriya Badi Meherbani ","AshaBhosle,MohammedRafi","O P Nayyar","S H Bihari","Ek Musafir Ek Hasina","Sadhana, Joy Mukherjee",1962
"234",16,"Mehandi Lagi Mere Haath Re ","LataMangeshkar","Kalyanji Anandji","Anand Bakshi","Mehndi Lagi Mere Haath","Shashi Kapoor, Nanda, Ashok Kumar",1962
"235",17,"Tum To Dil Ke Taar Chhed Kar ","TalatMahmood","Shankar Jaikishan","Shailendra","Roop Ki Rani Choron Ka Raja","Waheeda Rehman, Dev Anand",1962
"236",18,"Mujhe Tumse Mohabbat Hai Magar Mai Kah Nahi Sakta ","MohammedRafi","Sardar Malik","Hasrat Jaipuri","Bachpan","Menka Irani, Salim",1962
"237",19,"Aapne Yaad Dilaya To Mujhe Yaad ","LataMangeshkar,MohammedRafi","Roshan","Majrooh Sultanpuri","Aarti","Meena Kumari, Pradeep Kumar",1962
"238",20,"Mujhe Dekh Kar Aap Ka Muskurana ","MohammedRafi","O P Nayyar","S H Bihari","Ek Musafir Ek Hasina","Sadhana, Joy Mukherjee",1962
"239",21,"Bol Meri Taqdeer Main Kya Hai ","Mukesh,LataMangeshkar","Shankar Jaikishan","Shailendra","Hariyali Aur Rasta","Manoj Kumar, Mala Sinha",1962
"240",22,"Na Tum Hame Jaano Na Ham Tumhe Jaane ","SumanKalyanpur,HemantKumar","Hemant Kumar","Majrooh Sultanpuri","Baat Ek Raat Ki","Waheeda Rehman, Dev Anand",1962
"241",23,"Mai Kaun Hu, Mai Kaha Hu, Mujhe Ye Hosh Nahi ","MohammedRafi","Chitragupt","Rajinder Krishan","Main Chup Rahungi","Sunil Dutt, Meena Kumari",1962
"242",24,"Aap Yu Hi Agar Ham Se Milte Rahe ","MohammedRafi,AshaBhosle","O P Nayyar","Raja Mehdi Ali Khan","Ek Musafir Ek Hasina","Sadhana, Joy Mukherjee",1962
"243",25,"O Nirdai Pritam ","LataMangeshkar","Chitalkar Ramchandra","Bharat Vyas","Stree","V Shantaram, Sandhya",1962
"244",26,"Tumhi Ho Mata Pita Tumhi Ho, Tumhi Ho Bandhu Sakha Tumhi Ho ","LataMangeshkar","Chitragupt","Rajinder Krishan","Main Chup Rahungi","Babloo",1962
"245",27,"Zaraa Nazro Se Kah Do Ji Nishana Chuk Na Jaye ","HemantKumar","Hemant Kumar","Shakeel Badayuni","Bees Saal Baad","Waheeda Rehman, Biswajeet",1962
"246",28,"Kabhi To Milegi, Kahi To Milegi, Baharo Ki Manzil ","LataMangeshkar","Roshan","Majrooh Sultanpuri","Aarti","Meena Kumari, Pradeep Kumar",1962
"247",29,"Jyoti Kalash Chhalake Jyoti Kalash Chhalake ","LataMangeshkar","Sudhir Phadke","Narendra Sharma","Bhabhi ki Chudiyan","Meena Kumari",1962
"248",30,"Aaj Ki Raat Nahi Shikave ","MahendraKapoor","N Datta","Sahir Ludhianvi","Dharmputra","Rehman, Mala Sinha",1962
"249",31,"Hasrat Hi Rahi, Hamse Bhi Kabhi ","KishoreKumar","Ravi","Rajinder Krishan","Bombay Ka Chor","Kishore Kumar",1962
"250",32,"Dil Ki Tamanna Thi Masti Me Manzil Se (Duet) ","MohammedRafi,AshaBhosle","N Datta","Majrooh Sultanpuri","Gyara Hazar Ladkiyan","Mala Sinha, Helen, Bharat Bhushan",1962
"251",1,"Jo Wada Kiya Wo Nibhana Padega ","MohammedRafi,LataMangeshkar","Roshan","Sahir Ludhianvi","Taj Mahal","Pradeep Kumar, Bina Roy",1963
"252",2,"Dil Ek Mandir Hai, Pyar Ki Jisme Hoti Hai Puja ","SumanKalyanpur,MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Dil Ek Mandir","Meena Kumari, Rajendra Kumar",1963
"253",3,"In Hawao Me, In Fizao Me Tujhko Mera Pyar Pukare ","AshaBhosle,MahendraKapoor","Ravi","Sahir Ludhianvi","Gumrah","Mala Sinha, Sunil Dutt",1963
"254",4,"Chalo Ek Bar Phir Se, Ajnabi Ban Jaye Ham Dono ","MahendraKapoor","Ravi","Sahir Ludhianvi","Gumrah","Sunil Dutt, Mala Sinha, Ashok Kumar",1963
"255",5,"Aawaj Deke Hame Tum Bulao ","LataMangeshkar,MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Professor","Shammi Kapoor",1963
"256",6,"Hansta Hua Nurani Chehra, Kali Zulfe Rang Sunhera ","KamalBarot,LataMangeshkar","Laxmikant Pyarelal","Farooq Qaisar","Parasmani","Jeevankala, Nalini Chonkar, Geetanjali, Mahipal",1963
"257",7,"Mujhko Apne Gale Lagalo, Ai Mere Hamrahi ","MubarakBegum,MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Hamrahi","Rajendra Kumar, Jamuna",1963
"258",8,"Zindagi Kitni Khubsurat Hai ","HemantKumar","Hemant Kumar","Shakeel Badayuni","Bin Badal Barsaat","Biswajeet, Asha Parekh",1963
"259",9,"Aaj Chhedo Mohabbat Ki Shehnaiya ","LataMangeshkar","Naushad","Shakeel Badayuni","Son Of India","Kumkum",1963
"260",10,"O Janewale Ho Sake Toh Laut Ke Aana ","Mukesh","Sachin Dev Burman","Shailendra","Bandini","Nutan",1963
"261",11,"Ik Ghar Banauga, Tere Ghar Ke Samne ","LataMangeshkar,MohammedRafi","Sachin Dev Burman","Hasrat Jaipuri","Tere Ghar Ke Samne","Dev Anand, Nutan",1963
"262",12,"Aye Gulbadan, Phulo Ki Mehak Kanto Ki Chubhan ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Professor","Shammi Kapoor, Kalpana",1963
"263",13,"Tum Hee Tum Ho Mere Jivan Me ","MohammedRafi,LataMangeshkar","Shankar Jaikishan","Shailendra","Ek Dil Sau Afsane","Waheeda Rehman, Raj Kapoor",1963
"264",14,"Bijli Gira Ke Aap Khud Bijli Se Dar Gaye, Dil Tera Diwana Hai Sanam ","LataMangeshkar,MohammedRafi","Shankar Jaikishan","Shailendra","Dil Tera Deewana","Shammi Kapoor, Mala Sinha",1963
"265",15,"Woh Jab Yaad Aaye Bahut Yaad Aaye ","LataMangeshkar,MohammedRafi","Laxmikant Pyarelal","Asad Bhopali","Parasmani","Mahipal, Geetanjali",1963
"266",16,"Dil Todne Vale, Tujhe Dil Dhundh Raha Hai ","LataMangeshkar,MohammedRafi","Naushad","Shakeel Badayuni","Son Of India","Kamaljeet, Kumkum",1963
"267",17,"Moraa Goraa Ang Lai Le ","LataMangeshkar","Sachin Dev Burman","Gulzar","Bandini","Nutan",1963
"268",18,"Duniya Teri Yahi Hai To Duniya Se Main Chala ","MohammedRafi","Ravi","Shakeel Badayuni","Gehra Daag","Rajendra Kumar",1963
"269",19,"Dil Jo Bhi Kahega, Manege Duniya Me Hamara Dil Hi To Hai ","Mukesh","Roshan","Sahir Ludhianvi","Dil Hi To Hai","Raj Kapoor",1963
"270",20,"Aaj Ki Taaza Khabar ","ShantiMathur","Naushad","Shakeel Badayuni","Son Of India","Sajid Khan",1963
"271",21,"Ruk Ja Raat Thehar Ja Re Chanda ","LataMangeshkar","Shankar Jaikishan","Shailendra","Dil Ek Mandir","Meena Kumari, Raaj Kumar",1963
"272",22,"Ye Vadiyan Ye Fizaen Bula Rahi Hain Tumhe ","MohammedRafi","Ravi","Sahir Ludhianvi","Aaj Aur Kal","Sunil Dutt, Nanda",1963
"273",23,"Paanv Chhu Lene Do Phulon Ko Inaayat Hogi ","MohammedRafi,LataMangeshkar","Roshan","Sahir Ludhianvi","Taj Mahal","Pradeep Kumar, Bina Roy",1963
"274",24,"Mere Mehboob Tujhe, Meri Mohabbat Ki Kasam ","MohammedRafi","Naushad","Shakeel Badayuni","Mere Mehboob","Sadhana, Rajendra Kumar",1963
"275",25,"Tum Agar Mujhko Na Chaho Tu Koi Baat Nahi ","Mukesh","Roshan","Sahir Ludhianvi","Dil Hi To Hai","Pran, Raj Kapoor, Nutan",1963
"276",26,"Zaroorat Hai Zaroorat Hai ","KishoreKumar","Madan Mohan","Rajinder Krishan","Manmauji","Kishore Kumar, Sadhana",1963
"277",27,"Ek Dil Aur Sau Afsane ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Ek Dil Sau Afsane","Waheeda Rehman, Raj Kapoor",1963
"278",28,"Laga Chunari Mein Daag Chhupaun Kaise ","MannaDey","Roshan","Sahir Ludhianvi","Dil Hi To Hai","Raj Kapoor, Nutan",1963
"279",29,"Tera Mera Pyar Amar, Phir Kyo Mujhko Lagta Hai Dar ","LataMangeshkar","Shankar Jaikishan","Shailendra","Asli Naqli","Sadhana, Dev Anand",1963
"280",30,"Jurm-E-Ulfat Pe ","LataMangeshkar","Roshan","Sahir Ludhianvi","Taj Mahal","Pradeep Kumar, Bina Roy, Rehman",1963
"281",31,"Govinda Aala Re Aala Zara Matki Sambhal Brijbala ","MohammedRafi","Kalyanji Anandji","Rajinder Krishan","Bluffmaster","Mohan Choti, Shammi Kapoor, Tun Tun",1963
"282",32,"Jaane Bahaar Husn Tera Bemisaal Hai ","MohammedRafi","Ravi","Shakeel Badayuni","Pyar Kiya To Darna Kya","Shammi Kapoor, B Saroja Devi",1963
"283",1,"Mere Man Ki Ganga Aur Tere Man Ki Jamuna Ka ","Vijayanthimala,Mukesh","Shankar Jaikishan","Shailendra","Sangam","Vyjayantimala, Raj Kapoor",1964
"284",2,"Yeh Mera Prem Patra Padhkar ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Sangam","Rajendra Kumar, Vyjayantimala",1964
"285",3,"Mere Mehboob Tujhe, Meri Mohabbat Ki Kasam ","MohammedRafi","Naushad","Shakeel Badayuni","Mere Mehboob","Sadhana, Rajendra Kumar",1964
"286",4,"Tumhe Aur Kya Du Mai Dil Ke Sivaye, Tumko Hamari Umar Lag Jaye ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Ayee Milan Ki Bela","Rajendra Kumar, Dharmendra, Saira Banu",1964
"287",5,"Tum Kamsin Ho, Nadan Ho, Nazuk Ho, Bholi Ho ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Ayee Milan Ki Bela","Saira Banu, Rajendra Kumar",1964
"288",6,"Mere Mehboob Qayamat Hogi ","KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Mr. X in Bombay","Kishore Kumar, Kumkum",1964
"289",7,"Ye Chand Sa Roshan Chehra (Taarif Karu Kya Uski) ","MohammedRafi","O P Nayyar","S H Bihari","Kashmir Ki Kali","Sharmila Tagore, Shammi Kapoor",1964
"290",9,"Nainaa Barasen Rimajhim Rimajhim ","LataMangeshkar","Madan Mohan","Raja Mehdi Ali Khan","Woh Kaun Thi","Sadhana, Manoj Kumar",1964
"291",10,"Main Kya Karun Ram Mujhe Buddha Mil Gaya ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Sangam","Vyjayantimala, Raj Kapoor",1964
"292",11,"Ham Bhi Agar Bachche Hote, Happy Birthday To You ","AshaBhosle,MannaDey,MohammedRafi","Ravi","Shakeel Badayuni","Door ki Awaaz","Saira Banu, Pran, Om Prakash, Manorama, Joy Mukherjee, Johnny Walker",1964
"293",12,"Dost Dost Na Raha Pyar Pyar Na Raha ","Mukesh","Shankar Jaikishan","Shailendra","Sangam","Raj Kapoor, Vyjayantimala, Rajendra Kumar",1964
"294",13,"Jhum Jhum Dhalti Raat, Leke Chali Mujhe Apne Sath ","LataMangeshkar","Hemant Kumar","Kaifi Azmi","Kohraa","Waheeda Rehman, Lalita Pawar",1964
"295",14,"Tere Husn Ki Kya Taarif Karun Kuchh Kahate Hue Bhi Darataa Hun ","LataMangeshkar,MohammedRafi","Naushad","Shakeel Badayuni","Leader","Dilip Kumar, Vyjayantimala",1964
"296",15,"Jo Hamane Daastaan Apani Sunaai, Aap Kyon Roe ","LataMangeshkar","Madan Mohan","Raja Mehdi Ali Khan","Woh Kaun Thi","Manoj Kumar, Sadhana",1964
"297",16,"Pyaar Aankho Se Jataya To ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Ayee Milan Ki Bela","Saira Banu, Rajendra Kumar",1964
"298",17,"Na Jhatko Zulf Se Pani, Ye Moti Phut Jayenge ","MohammedRafi","Ravi","Rajinder Krishan","Shehnai","Rajshree, Biswajeet",1964
"299",18,"Mujhe Duniyawalo Sharabi Na Samjho ","MohammedRafi","Naushad","Shakeel Badayuni","Leader","Vyjayantimala, Dilip Kumar",1964
"300",19,"Bandaaparavar Thaam Lo Jigar, Phir Vahi Dil Laayaa Hun ","MohammedRafi","O P Nayyar","Majrooh Sultanpuri","Phir Wohi Dil Laya Hoon","Joy Mukherjee, Asha Parekh",1964
"301",20,"Tum Ko Piya Dil Diya Kitne Naaz Se ","LataMangeshkar,UshaMangeshkar","G S Kohli","Farooq Qaisar","Shikari","Ajit, Helen, Ragini",1964
"302",21,"Chahunga Main Tujhe Sanjh Saware ","MohammedRafi","Laxmikant Pyarelal","Majrooh Sultanpuri","Dosti","Sushil Kumar, Sudhir Kumar",1964
